;ch_avail;ch_avail_plug2;soc_min;soc_max;soc_min_plug2;soc_refuel;soc_max_travel;distance;ch_direct;ch_refuel;ch_travel;consumption;dem_temp;max_el_distance;nprofiles
2012-07-30 06:00:00;7.104166666666667;0.9166666666666666;4.352191634476185;40.544528325398765;16.746807129122317;27.479875763257343;43.877861658732094;0.7043142623191049;0.06508741776148479;0.0;0.0;0.12716655681530634;0.015888605266809464;0.7043142517407736;
2012-07-30 07:00:00;6.798958333333334;0.9166666666666666;4.457937876383464;40.48244913419088;17.104455143213272;27.352709134419758;43.81578246752421;0.723888542993779;0.06885416805744171;0.0;0.0;0.16002585118015608;0.05144257020826141;0.7238885660966238;
2012-07-30 08:00:00;5.310416666666667;0.6875;4.989284088214238;40.39127747217814;17.402762641509373;27.192683299382526;43.724610805511475;3.022653515732991;0.20631116380294165;0.0;0.0;0.5129031812151273;0.05210996667544047;3.0226534803708396;
2012-07-30 09:00:00;8.206249999999999;3.5833333333333335;4.876735820124547;40.0846852461497;17.11902618408203;26.67978000640869;43.41801857948303;3.2060560286926236;1.9960448692242305;2.2594285806020102;0.0;0.44532087817788124;0.01557430966446797;2.7086590627829232;
2012-07-30 10:00:00;7.977083333333333;3.5833333333333335;4.600153046349685;41.63540951410929;16.673705279827118;28.493887662887573;44.8732476234436;2.771455181370387;0.006062500178813934;0.0;0.0;0.43829508622487384;0.01609616664548715;2.7714551587899527;
2012-07-30 11:00:00;7.633333333333333;0.4583333333333333;4.852091051638126;41.203177054723106;18.15265880028407;28.05559253692627;44.44101516405741;2.9836464734285157;0.5637941608826319;0.0;0.0;0.5001605699459711;0.016668511865039665;2.983646422624588;
2012-07-30 12:00:00;8.320833333333333;0.4583333333333333;4.910172979036967;41.26681059598923;17.652498215436935;27.555432001749676;44.502627869447075;2.248553157971893;0.40874343117078143;0.0;0.0;0.30573009451230365;0.0011884765699505806;1.751156210899353;
2012-07-30 13:00:00;11.102083333333333;0.4583333333333333;4.9047034693260985;41.369823932647705;17.346768031517666;27.249701817830402;44.51571353276571;1.8737153357404033;0.13229896128177643;0.0;0.0;0.3032599662741025;0.002376953139901161;1.8477472464243572;
2012-07-30 14:00:00;5.080208333333333;0.6875;5.146816184123357;41.1988627910614;17.043508052825928;26.946441928545635;44.33968202273051;4.262169603532848;0.13139362260699272;0.22916666666666666;0.0;0.5583921344950795;0.002773111996551355;3.5995231891671815;
2012-07-30 15:00:00;5.5;1.375;4.7672978943834705;40.771864453951515;16.6488739947478;26.617216398318607;43.792813181877136;1.1268367011256786;0.39883212248484295;0.9166666666666666;0.0;0.19548020077248415;0.008048083322743574;1.1268367369969685;
